date,comunidad,var,name,value
1999-05-01,Total España,CONSUMO X CAPITA,PULPO CONGELADO,0.004560265673365076
1999-05-01,Total España,CONSUMO X CAPITA,SALMON,0.050991469247867946
1999-05-01,Total España,CONSUMO X CAPITA,SALMON CONGELADO,0.00148366524435707
1999-05-01,Total España,CONSUMO X CAPITA,SALMON FRESCO,0.04950780400351087
1999-05-01,Total España,CONSUMO X CAPITA,SARDINA/BOQUERON,0.228721533327131
1999-05-01,Total España,CONSUMO X CAPITA,SARDINAS,0.025048630097593935
1999-05-01,Total España,CONSUMO X CAPITA,TOTAL CARNE,3.6398198052962787
1999-05-01,Total España,CONSUMO X CAPITA,TOTAL PESCA,1.9111585732247778
1999-05-01,Total España,CONSUMO X CAPITA,TRUCHA FRESCA,0.05184432614424414
1999-06-01,Total España,CONSUMO X CAPITA,ALMEJAS,0.00288587927175197
1999-06-01,Total España,CONSUMO X CAPITA,ALMEJAS CONGELADO,9.340574942092569e-4
1999-06-01,Total España,CONSUMO X CAPITA,"ALMEJAS,BERB.FRESC",0.05035614975556301
1999-06-01,Total España,CONSUMO X CAPITA,"ALMEJAS,BERBERECHO",0.051394214188354735
1999-06-01,Total España,CONSUMO X CAPITA,ATUN,0.1722089246648735
1999-06-01,Total España,CONSUMO X CAPITA,ATUN Y BONITO,0.05000428049828644
1999-06-01,Total España,CONSUMO X CAPITA,BACALAO,0.029323189963768627
1999-06-01,Total España,CONSUMO X CAPITA,BACALAO CONGELADO,0.003649014519905227
1999-06-01,Total España,CONSUMO X CAPITA,BACALAO FRESCO,0.025674175443863405
1999-06-01,Total España,CONSUMO X CAPITA,BERBEREC.CONGELADO,1.042575577115779e-4
1999-06-01,Total España,CONSUMO X CAPITA,BERBERECHOS,0.010270371911106881
1999-06-01,Total España,CONSUMO X CAPITA,CABALLA FRESCA,0.00790177052184697
1999-06-01,Total España,CONSUMO X CAPITA,CALAMAR Y PULPO FR,0.11726970289519599
1999-06-01,Total España,CONSUMO X CAPITA,CALAMARES,0.007705034505492189
1999-06-01,Total España,CONSUMO X CAPITA,CALAMARES CONGELAD,0.01898063974347681
1999-06-01,Total España,CONSUMO X CAPITA,"CALAMARES,PULPO",0.14277596352255276
1999-06-01,Total España,CONSUMO X CAPITA,CHICHARRO/CABALLA,0.005138694623361042
1999-06-01,Total España,CONSUMO X CAPITA,CONS.PESCADO/MOLUSCO,0.28024807441565813
1999-06-01,Total España,CONSUMO X CAPITA,GAMBAS/LANG.COCIDO,0.006347180063950533
1999-06-01,Total España,CONSUMO X CAPITA,GAMBAS/LANG.CONG.,0.03867830081534983
1999-06-01,Total España,CONSUMO X CAPITA,GAMBAS/LANG.FRESCO,0.03333409850611501
