date,source,catTL,value
2019-05-01,Farmed,Medium,0.10851529571116
2019-05-01,Mixed,Low,0.54357733542371
2019-05-01,Mixed,Medium,0.41482907105517997
2019-05-01,Wild,High,0.66804317651745
2019-05-01,Wild,Low,0.15158738505649
2019-05-01,Wild,Medium,0.13137287279501
2019-06-01,Farmed,High,0.13717122635542
2019-06-01,Farmed,Low,0.06588716542189
2019-06-01,Farmed,Medium,0.09783645988423001
2019-06-01,Mixed,Low,0.55880161364762
2019-06-01,Mixed,Medium,0.42852086018424
2019-06-01,Wild,High,0.66076118650788
2019-06-01,Wild,Low,0.15343689466562
2019-06-01,Wild,Medium,0.10470587026646
2019-07-01,Farmed,High,0.11800962802361
2019-07-01,Farmed,Low,0.07856852302654
2019-07-01,Farmed,Medium,0.09135217868762
2019-07-01,Mixed,Low,0.54904000224749006
2019-07-01,Mixed,Medium,0.42615921854261
2019-07-01,Wild,High,0.69877390179067
2019-07-01,Wild,Low,0.16961573344668002
2019-07-01,Wild,Medium,0.09706374595029
2019-08-01,Farmed,High,0.11937865321994
2019-08-01,Farmed,Low,0.08397640205372
2019-08-01,Farmed,Medium,0.08890138576777
2019-08-01,Mixed,Low,0.57599110943299
2019-08-01,Mixed,Medium,0.40828551466531
2019-08-01,Wild,High,0.63655954355026
2019-08-01,Wild,Low,0.12898958053131
2019-08-01,Wild,Medium,0.08133722545847
2019-09-01,Farmed,High,0.15573212170538
2019-09-01,Farmed,Low,0.08411802727126
2019-09-01,Farmed,Medium,0.0950594582748
2019-09-01,Mixed,Low,0.58185116157506
2019-09-01,Mixed,Medium,0.41473473373959
2019-09-01,Wild,High,0.61182458645923
2019-09-01,Wild,Low,0.12583405673053
2019-09-01,Wild,Medium,0.09387770474773
2019-10-01,Farmed,High,0.18299326280248998
2019-10-01,Farmed,Low,0.09415402210993001
2019-10-01,Farmed,Medium,0.10653298061696
2019-10-01,Mixed,Low,0.62035782623572
2019-10-01,Mixed,Medium,0.45466070656520996
2019-10-01,Wild,High,0.62519273173243
2019-10-01,Wild,Low,0.13998586385339
2019-10-01,Wild,Medium,0.09052498989713
2019-11-01,Farmed,High,0.16793425947082
2019-11-01,Farmed,Low,0.10175826840687
2019-11-01,Farmed,Medium,0.12438912308002001
2019-11-01,Mixed,Low,0.81063570823001
2019-11-01,Mixed,Medium,0.52566383933306
2019-11-01,Wild,High,0.63188041746741
2019-11-01,Wild,Low,0.10336932869989
2019-11-01,Wild,Medium,0.08892511449049
